"weight" "filename"
0.02318231 C:/zonation/bin/indicators/caribbean/A_Caribbean_CarCoastalShorelineCondition.tif
0.00488026 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanBeachHabitat.tif
0.22576790 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanFishHotspots.tif
0.05803817 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanFishNursery.tif
0.00980563 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanGreenwaysAndTrails.tif
0.46950122 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanHabitatPatchSizeLargeIslands.tif
0.10454802 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanHabitatPatchSizeSmallIslands.tif
1.00000000 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanIslandHabitat.tif
0.22876581 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanKarstHabitat.tif
1.00000000 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanLandscapeCondition.tif
0.02002267 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanLowUrbanHistoric.tif
0.15359115 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanNaturalLandcoverInFloodplains.tif
0.15298540 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanNetworkComplexity.tif
1.00000000 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanPermeableSurface.tif
0.18225369 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanReforestationPotential.tif
0.10556944 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanSeagrass.tif
0.13739958 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanShallowHardbottomAndCoral.tif
0.23740808 C:/zonation/bin/indicators/caribbean/A_Caribbean_CaribbeanUrbanParkSize.tif
0 C:/zonation/bin/indicators/caribbean/A_Caribbean_IslandLarge.tif
0 C:/zonation/bin/indicators/caribbean/A_Caribbean_IslandSmall.tif
0 C:/zonation/bin/indicators/caribbean/A_Caribbean_Marine.tif
0 C:/zonation/bin/indicators/caribbean/IslandMedium.tif
